url	first_seen	ats	company	sector	title	location	unclear
https://jobs.ashbyhq.com/linear/86abcce0-04b2-405c-9a8e-e0ca84813914	2026-05-25	ashby	Linear	ai-startup	Product Manager	Europe	1
https://www.asana.com/jobs/apply/7834350?gh_jid=7834350	2026-05-25	greenhouse	Asana	ai-startup	Program Manager, Enterprise Technology	Vancouver, BC	1
https://www.asana.com/jobs/apply/7663184?gh_jid=7663184	2026-05-25	greenhouse	Asana	ai-startup	Senior Product Manager, Agent Context	New York City	0
https://job-boards.greenhouse.io/scaleai/jobs/4589749005	2026-05-25	greenhouse	Scale AI	ai-startup	Product Manager of AI Applications, Global Public Sector	Doha, Qatar ; Dubai, UAE	1
https://job-boards.greenhouse.io/anthropic/jobs/5227856008	2026-05-25	greenhouse	Anthropic	ai-lab	GTM Strategy & Operations, Special Projects	San Francisco, CA	0
https://job-boards.greenhouse.io/anthropic/jobs/4976328008	2026-05-25	greenhouse	Anthropic	ai-lab	Manager– Growth Sales (AI-Native)	New York City, NY	0
https://job-boards.greenhouse.io/anthropic/jobs/5153924008	2026-05-25	greenhouse	Anthropic	ai-lab	Product Manager, Multi-Cloud Growth - Google	San Francisco, CA	0
https://job-boards.greenhouse.io/anthropic/jobs/5226694008	2026-05-25	greenhouse	Anthropic	ai-lab	Protective Services Strategy & Operations Lead	Boston, MA; Remote-Friendly (Travel-Required) | San Francisco, CA | Seattle, WA | New York City, NY; Washington, DC	0
https://job-boards.greenhouse.io/anthropic/jobs/5013743008	2026-05-25	greenhouse	Anthropic	ai-lab	Technical Program Manager, Data Center Infrastructure	San Francisco, CA | New York City, NY | Seattle, WA	0
https://jobs.ashbyhq.com/cohere/64c12340-0f1d-4320-9b5a-9bcb44150a1d	2026-05-25	ashby	Cohere	ai-lab	Senior Manager, Revenue Operations	Toronto	1
https://jobs.ashbyhq.com/elevenlabs/55715739-fd15-47e3-a2be-2a6acb6d837a	2026-05-25	ashby	ElevenLabs	voice-ai	Executive Assistant to Growth Lead	United States	0
https://jobs.ashbyhq.com/elevenlabs/02c054a0-ef9d-4f38-b44b-ad943955aab6	2026-05-25	ashby	ElevenLabs	voice-ai	Creator Community Growth	United States	0
https://jobs.ashbyhq.com/elevenlabs/3b517d94-7ecc-41ba-b49f-71c0671b27f7	2026-05-25	ashby	ElevenLabs	voice-ai	Impact Strategy & Operations	United States	0
https://jobs.ashbyhq.com/elevenlabs/09d54604-b5eb-498e-9868-e52b25967a66	2026-05-25	ashby	ElevenLabs	voice-ai	Mobile Growth Manager	United States	0
https://job-boards.eu.greenhouse.io/polyai/jobs/4874048101	2026-05-25	greenhouse	PolyAI	voice-ai	Partner & GTM Enablement Program Manager	United States	0
https://job-boards.greenhouse.io/gleanwork/jobs/4694761005	2026-05-25	greenhouse	Glean	agent-ai	Product Manager, Agent Security & Governance	San Francisco, CA	0
https://job-boards.greenhouse.io/gleanwork/jobs/4694764005	2026-05-25	greenhouse	Glean	agent-ai	Product Manager, AI Quality	Mountain View, CA	1
